Label,Resource
A1-1A,f6bd57cc-2b6f-27b5-7768-99c9373f25c1
A1-1B,b0bd57cc-2cbd-cd74-5a7a-5d4066540c4e
A1-1C,b2bd57cc-2c5f-c89a-732a-cd1f3c5a8d85
A1-1D,c0bd57cc-2c0c-74c6-4f94-7827544d43d7
A1-1E,c4bd57cc-2bf3-8a04-2d4a-be9ed298d245
A1-1G,0abd57cc-2ba6-6e10-cae0-484927b5b30c
A1-1H,06c50407-92b1-eedc-44ee-f3883e91db03
A1-1J,2ac50407-9448-943c-3306-f88e0b07cbd3
A1-2A,28bd57cc-2bd4-b3a0-c270-f57392677f4d
A1-2B,40bd57cc-2b70-ad50-761b-6b9909d32a63
A1-2C,82bd57cc-2cba-70ba-74ad-7c549a68624c
A1-2D,c2bd57cc-2c53-5a44-c89b-d163bed4d889
A1-2E,0cbd57cc-2c45-69c3-1963-5dbebd384a07
A1-2G,0ebd57cc-2c14-cdda-fb02-0d27c130097f
A1-2H,54c50407-9328-2c99-6a53-57505e719788
A1-2J,e4c50407-930e-f7ab-c449-2e3857370a67
A1-3A,1cbd57cc-2c2c-a3d3-82a2-4f5ecfd53b27
A1-3B,4cbd57cc-2bc9-2c9c-2244-34629e681e10
A1-3C,aebd57cc-2b74-d364-d096-2a237f16a9dd
A1-3D,60bd57cc-2ca2-43a1-152e-c117271a8369
A1-3E,4abd57cc-2c84-b55a-b0c7-a8adcad599ec
A1-3G,16bd57cc-2c87-cbae-5c36-cfbaf720f290
A1-3H,5cc50407-9389-bf0f-7347-f0d6c9a89fdd
A1-3J,06c50407-9378-ca29-6e73-6d9e7eafe7c9
A1-4A,e4bd57cc-2c71-849d-cfa9-c96c102ed006
A1-4B,b8bd57cc-2c1a-3e04-f078-5e115b02fbc8
A1-4C,c8bd57cc-2bc8-28cf-f222-ee8db28f3c23
A1-4D,f8bd57cc-2b9e-bc43-bc99-a26732d836fe
A1-4E,a8bd57cc-2cc9-38f5-8df7-863e70f4bf69
A1-4G,f6bd57cc-2ce0-64b6-ec6f-7b2aab2343c8
A1-4H,5ac50407-93f1-9b98-405b-4f8e8a919aa7
A1-4J,32c50407-93df-5768-62ed-b5b2a00b6cc9
A2-1A,34bd57cc-2d27-b819-bf3f-f0d15ca3c1ae
A2-1B,84bd57cc-2c88-a64b-f013-d994cb27324e
A2-1C,5ebd57cc-2da9-232d-baf6-ba60e15d01d0
A2-1D,c6bd57cc-2d70-195f-5bed-de467ed16663
A2-1E,a0bd57cc-2d3d-0fca-7df1-7a6a82802330
A2-1G,d4bd57cc-2e47-84ea-999d-8f3698c87e39
A2-1H,a8c50407-943d-cdc5-6328-a993a80464cd
A2-1J,48c50407-940c-1a09-74d1-fd6de41c478a
A2-2A,92bd57cc-2ba5-226c-2e29-6f6031fd27bb
A2-2B,10bd57cc-2cd2-4382-efa0-e7842ddf947a
A2-2C,88bd57cc-2dfc-c03c-c074-1247eea56204
A2-2D,d0bd57cc-2db3-11a9-2959-5474c9c085fc
A2-2E,a6bd57cc-2d7a-822e-cf8f-abb547a7a4b9
A2-2G,72bd57cc-2d4a-33ba-635f-7340f1637249
A2-2H,2ec50407-949d-c8b0-6f26-64b2ce8b1714
A2-2J,1ec50407-9462-6d6d-a5ae-21ccd607c66a
A2-3A,c0bd57cc-2bf7-8c06-d7b8-434e0d21dd5f
A2-3B,acbd57cc-2d0f-6e12-8cbb-c3aa04d30c79
A2-3C,56bd57cc-2e48-1562-1819-6d549890c366
A2-3D,88bd57cc-2df7-0f36-3ae6-6dae77a8e591
A2-3E,a8bd57cc-2dc0-db08-c7eb-03cb75929fae
A2-3G,febd57cc-2daa-9562-5821-92409fe47202
A2-3H,b8c50407-9342-ff89-2ec1-b2ff49b4f144
A2-3J,c2c50407-94bc-1a1b-6bce-8d210ec7ade2
A2-4A,e0bd57cc-2c42-b3dc-8a78-378f8f58ccd4
A2-4B,8cbd57cc-2d4f-8753-f3e7-b772a10fe891
A2-4C,18bd57cc-2d2e-004f-443a-9ee2a9f87b2f
A2-4D,3cbd57cc-2e38-9fb1-d9cb-4b7c0464712b
A2-4E,42bd57cc-2e05-73ff-f19c-4b218c4f3e51
A2-4G,3cbd57cc-2dec-6dcc-d788-c2e01334ba38
A2-4H,26c50407-93a8-116e-cc0d-e2611ef30f70
A2-4J,54c50407-9344-79d5-49fe-f937f36a1c38
A3-1A,66bd57cc-2e2e-a5e1-0c9a-6eadbf9cdbca
A3-1B,f4bd57cc-2dd9-ad74-13c2-4c4e597be7d6
A3-1C,3ebd57cc-2e01-616b-45ff-51629171900a
A3-1D,8ebd57cc-2eb6-404e-7f16-30a41788151b
A3-1E,b0bd57cc-2fc4-5555-9e24-e7700d7ffecc
A3-1G,2ebd57cc-2faa-d9d7-8d1c-4ccecf2196e3
A3-1H,fac50407-939b-14fd-1234-d87b137609d9
A3-1J,22c50407-933f-26eb-073f-b5f02b175db6
A3-2A,74bd57cc-2e73-f0d9-6394-813117ddb8b6
A3-2B,1cbd57cc-2e24-b7ee-b66f-ef8334cd5f4a
A3-2C,8cbd57cc-2e56-e0ae-c178-c8b5e73656f7
A3-2D,aebd57cc-2ef9-f71b-e53b-b0c6afd902f2
A3-2E,1ebd57cc-2eda-e89d-df5f-9b9cab80b430
A3-2G,34bd57cc-2fee-6693-5cba-cf1adf792299
A3-2H,c2c50407-93e0-94b4-30d3-b1895484fb85
A3-2J,22c50407-93a3-7db3-2931-37b06df06c1d
A3-3A,72bd57cc-2d48-8d2d-6426-09b98dbb683f
A3-3B,3cbd57cc-2e7d-7687-c78b-a48a41f116e4
A3-3C,e4bd57cc-2e9a-ec45-8f5e-682a84a48832
A3-3D,88bd57cc-2f3e-7f77-4d84-51a780cefa7f
A3-3E,42bd57cc-2f1e-18b3-6cd2-e5f3f43c3f79
A3-3G,b6bd57cc-2ee4-b964-bb11-e2cb1ddeb039
A3-3H,60c50407-945c-1538-2a4c-a536c674d836
A3-3J,2ec50407-93ff-db6f-e84c-bc258b604d2d
A3-4A,4cbd57cc-2d8d-0dc9-3cee-f7c904eed53c
A3-4B,f4bd57cc-2da1-e0e2-79c2-a6a52af20018
A3-4C,e8bd57cc-2eea-e9fd-73c0-5b1b72686d45
A3-4D,b8bd57cc-2f7d-6999-fe56-da48e2aed895
A3-4E,cabd57cc-2f64-8514-aad3-2ccc673b47fc
A3-4G,b6bd57cc-2f2b-d7f4-b3d2-1962fd952bde
A3-4H,cec50407-94b5-99d6-4ff9-e40d1a36f05c
A3-4J,2ec50407-9462-fd03-e6bc-4a99b9a8df75
A4-1A,20bd57cc-2f6d-a5a9-280d-03ab79575346
A4-1B,fabd57cc-2f2a-c1c5-c155-19a4513b0fc7
A4-1C,e2bd57cc-2f03-7e12-a4e3-a272c974cf80
A4-1D,cebd57cc-3012-7e3e-183b-f6f5985c49f1
A4-1E,7cbd57cc-304b-2db1-f800-735c9b135fcd
A4-1G,60bd57cc-30ba-462a-bf61-347838a5cb8b
A4-1H,b8c50407-94b1-02ea-d93a-65a5d200e971
A4-1J,50c50407-943a-f58f-0621-62222ac3f523
A4-2A,f4bd57cc-2fb1-2595-c3e4-543ef4fe2b61
A4-2B,a6bd57cc-2f73-ea44-8681-9c45a5e6bb83
A4-2C,5abd57cc-2f49-3715-8914-bce6250607b9
A4-2D,50bd57cc-2f6c-4a5a-fa4b-c1446b902ffa
A4-2E,e6bd57cc-308d-6f2a-3c8c-936f58fa33ed
A4-2G,7ebd57cc-30fd-88e7-b755-9603eedd27ee
A4-2H,b8c50407-933a-9b4f-25a4-b5a60a414a32
A4-2J,fac50407-948e-3421-bf33-96e839e0db01
A4-3A,6abd57cc-2ff2-26a3-3854-8d6aa4f052e5
A4-3B,9cbd57cc-2fb2-2164-c50f-c9e2870088ef
A4-3C,8abd57cc-2f8e-340d-8786-ba079075166d
A4-3D,c0bd57cc-2fbb-d850-11f5-18763507f2e0
A4-3E,54bd57cc-3035-eeb0-afe8-3a8ad92774b8
A4-3G,debd57cc-313f-84c6-cd5b-3859d63f5a4d
A4-3H,52c50407-9388-4271-592f-9b3a3f61ed0e
A4-3J,38c50407-94db-f6e5-ff21-29f62cb89d30
A4-4A,96bd57cc-2ee8-b636-07d3-3a299d7fd444
A4-4B,82bd57cc-2ff9-3416-cd05-cde18d631986
A4-4C,0abd57cc-2fd1-52d1-1564-bad6c9699420
A4-4D,74bd57cc-3002-99b0-9607-fefbde33963d
A4-4E,d8bd57cc-3078-1543-0d76-56f4785279a4
A4-4G,08bd57cc-3061-a0cc-0bc8-7ebd4130e8ff
A4-4H,98c50407-93e2-bfd4-e734-5667760c0675
A4-4J,acc50407-9536-eaf2-9165-16ab88462edc
A5-1A,0ebd57cc-30a3-871a-6768-6e02b985b578
A5-1B,70bd57cc-3063-4364-5479-4f121486a8da
A5-1C,ccbd57cc-3182-3bfc-9d6a-e8bbad075e1a
