Label,Resource
B1-1A,04bd57cc-de16-55e6-a749-07565ac2116a
B1-1B,ecbd57cc-df2d-dbb5-2a3c-9a68dc888d2b
B1-1C,30bd57cc-deef-bcc5-6f9c-6d78a7e66336
B1-1D,30bd57cc-dfc9-9575-6446-6a0555a66b70
B1-1E,60bd57cc-dfd5-62cd-3bdd-78ab13feda25
B1-1G,cebd57cc-df8e-8a79-9242-a75b02f24ba5
B1-2A,62bd57cc-de5b-ac46-62a1-1af205dfa48d
B1-2B,20bd57cc-de23-924c-d242-29517c1de7d3
B1-2C,58bd57cc-df2e-ede7-5282-992141b1826f
B1-2D,1abd57cc-e00d-27d2-ef67-66551e16dc01
B1-2E,6abd57cc-e017-c8e1-b169-0fe63fa444c8
B1-2G,4cbd57cc-dfd5-7daa-19fb-9381d22dd502
B1-3A,ccbd57cc-dea5-bf7f-efc4-b2d269838a59
B1-3B,d6bd57cc-de6a-a3b3-8a9c-4137e1ab0d88
B1-3C,20bd57cc-df42-c0fe-f800-26e9ec8eae82
B1-3D,44bd57cc-e04d-06ba-625b-56d73ad30485
B1-3E,9ebd57cc-e057-0028-9c61-308a54c83037
B1-3G,8cbd57cc-e014-a7f0-9565-6561a42ff09a
B1-4A,8cbd57cc-deed-95d0-de8a-62323731dee1
B1-4B,f0bd57cc-deac-b32c-0a59-db347c0718cc
B1-4C,bcbd57cc-df8a-3ff8-15d5-e3f42fced9bf
B1-4D,acbd57cc-df8d-faca-6d20-6343e5373310
B1-4E,5abd57cc-e09e-b3a6-47df-ed350374582e
B1-4G,4cbd57cc-e058-09d3-9fb8-92f3104a5ff2
B2-1A,40bd57cc-e09f-5f0c-017f-36a7c64b7226
B2-1B,80bd57cc-e05f-b542-dc9a-6a7bdb76d8d8
B2-1C,acbd57cc-e027-dcd6-6518-59e516b1ef4f
B2-1D,f6bd57cc-dff6-b3ae-7e88-6786d77ee7d6
B2-1E,2ebd57cc-e0c0-7a8e-3af4-ea5a4b447364
B2-1G,12bd57cc-e1df-132f-729f-a496bbe33a57
B2-2A,12bd57cc-df90-6299-435d-a7fcaf94c77b
B2-2B,7abd57cc-e0ac-4b57-4947-cbbc3bc60c29
B2-2C,32bd57cc-e06e-e38c-45c0-24d28aa3757b
B2-2D,fabd57cc-e047-3418-fe12-1a238953a9dc
B2-2E,30bd57cc-e103-4441-489a-b6ecc72f92e5
B2-2G,c2bd57cc-e11f-f671-8329-5c6bbd25d47d
B2-3A,febd57cc-dfcf-007f-6f95-74471b8cf79d
B2-3B,72bd57cc-dfa0-3ebb-99a8-a7961fc0c3f9
B2-3C,54bd57cc-e0b6-7f45-e633-adb342b31631
B2-3D,b6bd57cc-e089-11c5-478e-5df95e26fdd5
B2-3E,0abd57cc-e142-67d3-964a-d79f920f4105
B2-3G,d4bd57cc-e15e-e812-b60f-1b2c03f81653
B2-4A,f6bd57cc-e018-7f16-15f3-c65f9426bbf7
B2-4B,3cbd57cc-dfe7-7b74-b01f-50077579eea0
B2-4C,3ebd57cc-dfb6-f45f-53b4-9f75ca3aec11
B2-4D,30bd57cc-e0ca-6f63-dd37-625eb4ddf12a
B2-4E,24bd57cc-e185-4e47-a6b4-e58765863016
B2-4G,eebd57cc-e1a8-ac26-803b-9e9851290401
B3-1A,50bd57cc-e1f2-e47c-5492-791cb753f6e7
B3-1B,52bd57cc-e191-4a1c-956f-3c615ea81449
B3-1C,8ebd57cc-e15a-d4ad-f83e-f483635ae927
B3-1D,2cbd57cc-e127-4784-3369-3e549386e82b
B3-1E,24bd57cc-e247-b11f-fbfe-7f92104959e3
B3-1G,7ebd57cc-e202-86dd-77b9-dc639e8eec4d
B3-2A,e8bd57cc-e230-6ee6-5be8-14febfc799de
B3-2B,52bd57cc-e1cf-a503-52c8-0e9ebebf6898
B3-2C,dcbd57cc-e198-c926-7f19-acfeb13697fb
B3-2D,42bd57cc-e16d-26cf-e31a-47f938168764
B3-2E,7ebd57cc-e137-4bff-28be-93f002feea36
B3-2G,e6bd57cc-e248-2cf0-caf7-1b31d5d97670
